DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,173,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.84,0.92,0.82,0.94,0.94,0.94,Well Developed,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,03/01/2017 12:00:00 AM,,,0.046,0.26,0.04,0.895,0.405,0.786,0.098,0.254,0.601,0.035,7.8,0.625,0.939,0.186,0.985
01M019,P.S. 019 Asher Levy,Elementary,244,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.85,0.87,0.88,0.84,0.94,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,10/01/2016 12:00:00 AM,,,0.033,0.361,0.111,0.689,0.143,0.549,0.094,0.197,0.631,0.066,8.8,0.762,0.914,0.353,0.968
01M020,P.S. 020 Anna Silver,Elementary,463,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.69,0.8,0.76,0.82,0.93,0.85,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,04/01/2017 12:00:00 AM,,,0.186,0.253,0.091,0.799,0.199,0.693,0.309,0.102,0.523,0.026,1.8,0.622,0.93,0.274,0.967
01M034,P.S. 034 Franklin D. Roosevelt,K-8,320,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.73,0.61,0.61,0.64,0.9,0.72,Developing,Developing,Developing,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Developing,10/01/2017 12:00:00 AM,,,0.078,0.378,0.028,0.93,0.266,0.863,0.034,0.316,0.613,0.031,1.7,0.737,0.901,0.391,0.976
01M063,The STAR Academy - P.S.63,Elementary,177,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.77,0.92,0.83,0.93,0.95,0.94,Well Developed,Proficient,Well Developed,Proficient,Well Developed,,,,,,10/27/2015 12:00:00 AM,,,0.011,0.356,0.006,0.779,0.254,0.638,0.028,0.175,0.65,0.107,10.9,0.474,0.927,0.261,0.98
01M064,P.S. 064 Robert Simon,Elementary,210,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.82,0.91,0.77,0.92,0.95,0.93,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,01/01/2018 12:00:00 AM,,,0.024,0.333,0.014,0.883,0.233,0.767,0.048,0.21,0.667,0.062,9.8,0.667,0.907,0.386,0.969
01M110,P.S. 110 Florence Nightingale,Elementary,349,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.87,0.91,0.85,0.89,0.94,0.91,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,10/01/2016 12:00:00 AM,,,0.04,0.132,0.032,0.594,0.16,0.427,0.178,0.1,0.441,0.249,10,0.56,0.944,0.177,0.979
01M134,P.S. 134 Henrietta Szold,Elementary,277,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.8,0.86,0.75,0.88,0.9,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,11/10/2015 12:00:00 AM,,,0.094,0.437,0.112,0.905,0.227,0.841,0.116,0.22,0.606,0.04,4.9,0.771,0.901,0.422,0.965
01M140,P.S. 140 Nathan Straus,K-8,353,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.8,0.8,0.68,0.86,0.89,0.86,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,01/01/2018 12:00:00 AM,,,0.102,0.337,0.139,0.913,0.218,0.836,0.054,0.122,0.796,0.023,3,0.818,0.895,0.452,0.946
01M142,P.S. 142 Amalia Castro,Elementary,308,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.81,0.85,0.74,0.89,0.95,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,02/01/2018 12:00:00 AM,,,0.088,0.409,0.123,0.924,0.328,0.818,0.023,0.123,0.831,0.003,3,0.649,0.922,0.282,0.975
01M184,P.S. 184m Shuang Wen,K-8,649,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,0.77,0.73,0.7,0.75,0.91,0.81,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,10/01/2016 12:00:00 AM,,,0.159,0.166,0.018,0.654,0.126,0.49,0.698,0.039,0.128,0.074,7,0.538,0.977,0.045,0.97
01M188,P.S. 188 The Island School,K-8,414,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.99,1,1,1,1,1,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,01/21/2016 12:00:00 AM,,,0.167,0.324,0.08,0.951,0.505,0.855,0.017,0.29,0.667,0.027,3.9,0.775,0.89,0.434,0.962
01M301,"Technology, Arts, and Sciences Studio",Middle,106,,,,,,,,0.62,0.65,0.5,0.82,0.86,0.81,Developing,Developing,Developing,Developing,Under Developed,Developing,Developing,Developing,Under Developed,Under Developed,11/01/2016 12:00:00 AM,2.41,2.3,0.028,0.377,0.019,0.841,0.189,0.736,0.038,0.311,0.538,0.066,12.3,0.917,0.888,0.455,0.948
01M315,The East Village Community School,Elementary,282,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.89,0.88,0.88,0.98,0.94,Proficient,Proficient,Well Developed,Well Developed,Proficient,,,,,,05/05/2016 12:00:00 AM,,,0.014,0.191,0.004,0.36,0.043,0.241,0.106,0.053,0.202,0.574,3.9,0.68,0.95,0.133,0.976
01M332,University Neighborhood Middle School,Middle,203,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.85,0.89,0.73,0.91,0.89,0.93,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,01/01/2018 12:00:00 AM,2.31,2.34,0.054,0.438,0.113,0.851,0.187,0.754,0.089,0.232,0.626,0.044,9.7,0.583,0.91,0.282,0.998
01M361,The Children's Workshop School,Elementary,279,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.93,0.92,0.95,0.94,0.96,0.9,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,05/10/2016 12:00:00 AM,,,0.032,0.254,0.011,0.527,0.09,0.391,0.097,0.097,0.387,0.355,14,0.833,0.921,0.25,0.967
01M363,Neighborhood School,Elementary,286,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,,0.82,0.87,0.91,0.86,0.96,0.92,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,02/01/2018 12:00:00 AM,,,0.035,0.241,0.007,0.484,0.077,0.357,0.059,0.094,0.357,0.444,4.8,0.739,0.934,0.216,0.982
01M364,Earth School,Elementary,320,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Not Meeting Target,0.87,0.93,0.89,0.88,0.98,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,03/03/2015 12:00:00 AM,,,0.066,0.316,0.016,0.572,0.156,0.441,0.063,0.122,0.394,0.338,3.8,0.893,0.935,0.223,0.979
01M378,School for Global Leaders,Middle,256,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.88,0.79,0.81,0.87,0.92,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,05/24/2016 12:00:00 AM,2.36,2.39,0.09,0.391,0.137,0.849,0.207,0.773,0.137,0.27,0.566,0.016,2,0.69,0.891,0.384,0.944
01M450,East Side Community School,Middle,298,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.87,0.89,0.83,0.93,0.96,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,05/26/2015 12:00:00 AM,2.96,3.1,0.007,0.309,0.03,0.598,0.084,0.436,0.111,0.128,0.527,0.198,16.8,0.796,0.972,0.04,0.989
01M539,"New Explorations into Science, Technology and Math",K-8,1152,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.82,0.76,0.71,0.78,0.93,0.84,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,04/01/2017 12:00:00 AM,,,0.01,0.049,0.002,0.202,0.009,0.105,0.351,0.049,0.082,0.424,3,0.639,0.965,0.05,0.969
01M839,Tompkins Square Middle School,Middle,373,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.9,0.78,0.89,0.93,0.9,Well Developed,Proficient,Well Developed,Proficient,Well Developed,,,,,,12/04/2014 12:00:00 AM,2.9,2.96,0.021,0.276,0.005,0.677,0.099,0.568,0.231,0.129,0.397,0.206,9.9,0.839,0.955,0.114,0.969
02M001,P.S. 001 Alfred E. Smith,Elementary,294,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.83,0.86,0.8,0.81,0.92,0.9,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,05/13/2016 12:00:00 AM,,,0.218,0.293,0.027,0.839,0.102,0.769,0.544,0.167,0.255,0.02,15,0.935,0.945,0.196,0.976
02M002,P.S. 002 Meyer London,Elementary,530,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.83,0.91,0.89,0.94,0.94,0.95,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,04/01/2017 12:00:00 AM,,,0.34,0.232,0.034,0.914,0.298,0.83,0.792,0.053,0.143,0.009,2,0.885,0.969,0.098,0.96
02M003,P.S. 003 Charrette School,Elementary,699,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,0.88,0.89,0.9,0.91,0.97,0.95,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,12/01/2017 12:00:00 AM,,,0.034,0.223,0.011,0.221,0.021,0.173,0.083,0.062,0.139,0.662,16.9,0.9,0.942,0.156,0.944
02M006,P.S. 006 Lillie D. Blake,Elementary,616,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,0.89,0.87,0.91,0.88,0.96,0.85,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,05/17/2016 12:00:00 AM,,,0.032,0.183,0.003,0.112,0.01,0.045,0.14,0.021,0.068,0.752,11.8,0.81,0.958,0.072,0.975
02M011,P.S. 011 William T. Harris,Elementary,905,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.92,0.93,0.91,0.95,0.98,0.96,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,05/12/2015 12:00:00 AM,,,0.033,0.15,0.004,0.336,0.042,0.222,0.158,0.062,0.243,0.469,13,0.767,0.953,0.117,0.967
02M033,P.S. 033 Chelsea Prep,Elementary,614,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,0.73,0.66,0.67,0.57,0.93,0.7,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,10/01/2017 12:00:00 AM,,,0.047,0.158,0.049,0.498,0.171,0.42,0.226,0.179,0.282,0.226,3,0.5,0.934,0.252,0.963
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,637,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.94,0.96,0.97,0.98,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,03/30/2016 12:00:00 AM,,,0.033,0.181,0.006,0.144,0.013,0.077,0.116,0.016,0.137,0.623,14,0.838,0.961,0.055,0.966
02M041,P.S. 041 Greenwich Village,Elementary,658,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.93,0.95,0.97,0.96,0.98,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,05/19/2016 12:00:00 AM,,,0.017,0.16,0.003,0.08,0.003,0.053,0.079,0.012,0.105,0.687,13,0.889,0.962,0.053,0.959
02M042,P.S. 042 Benjamin Altman,Elementary,611,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.87,0.94,0.94,0.97,0.94,0.97,Well Developed,Well Developed,Proficient,Well Developed,Proficient,,,,,,05/15/2015 12:00:00 AM,,,0.368,0.182,0.003,0.829,0.108,0.732,0.903,0.011,0.064,0.013,3.8,0.784,0.975,0.056,0.952
02M051,P.S. 051 Elias Howe,Elementary,385,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.84,0.93,0.9,0.93,0.95,0.97,Proficient,Well Developed,Proficient,Well Developed,Well Developed,,,,,,12/12/2014 12:00:00 AM,,,0.091,0.249,0.018,0.65,0.291,0.569,0.169,0.177,0.481,0.156,1,0.818,0.916,0.322,0.972
02M077,P.S. 77 Lower Lab School,Elementary,358,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,0.92,0.81,0.92,0.77,0.97,0.8,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,02/01/2018 12:00:00 AM,,,0,0.101,0,0.1,0.003,0.042,0.313,0.003,0.061,0.506,3,0.8,0.967,0.031,0.959
02M089,P.S. 89,Elementary,397,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.89,0.91,0.95,0.94,0.98,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,05/01/2017 12:00:00 AM,,,0.05,0.164,0,0.092,0,0.035,0.169,0.018,0.151,0.592,19.8,0.862,0.96,0.054,0.969
02M104,J.H.S. 104 Simon Baruch,Middle,1134,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.82,0.83,0.71,0.84,0.86,0.87,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,12/15/2015 12:00:00 AM,3.19,3.43,0.041,0.175,0.026,0.425,0.064,0.345,0.336,0.075,0.19,0.346,3.8,0.808,0.962,0.09,0.958
02M111,P.S. 111 Adolph S. Ochs,Elementary,349,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.69,0.78,0.58,0.75,0.93,0.9,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,11/01/2016 12:00:00 AM,,,0.14,0.232,0.052,0.668,0.223,0.593,0.166,0.152,0.49,0.155,3,0.788,0.909,0.355,0.963
02M114,East Side Middle School,Middle,450,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.89,0.9,0.82,0.94,0.92,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,12/18/2014 12:00:00 AM,3.87,4,0,0.158,0.002,0.113,0.004,0.067,0.124,0.038,0.093,0.671,15.2,0.8,0.976,0.02,0.973
02M116,P.S. 116 Mary Lindley Murray,Elementary,492,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,0.87,0.95,0.9,0.92,0.95,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,05/07/2015 12:00:00 AM,,,0.089,0.187,0.012,0.368,0.138,0.274,0.207,0.126,0.211,0.394,15,0.875,0.947,0.142,0.963
02M124,P.S. 124 Yung Wing,Elementary,668,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.74,0.78,0.88,0.76,0.93,0.87,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,01/01/2017 12:00:00 AM,,,0.331,0.133,0,0.644,0.063,0.53,0.943,0,0.022,0.016,15,0.863,0.984,0.015,0.971
02M126,P.S. 126 Jacob August Riis,K-8,755,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.86,0.89,0.83,0.89,0.91,0.93,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,11/14/2014 12:00:00 AM,,,0.174,0.195,0.003,0.77,0.275,0.682,0.633,0.089,0.174,0.078,2.1,0.833,0.969,0.097,0.975
02M130,P.S. 130 Hernando De Soto,Elementary,877,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.91,0.94,0.94,0.96,0.94,0.97,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,02/27/2015 12:00:00 AM,,,0.163,0.146,0.018,0.586,0.032,0.461,0.877,0.01,0.049,0.031,3.9,0.847,0.98,0.026,0.971
02M131,M.S. 131,Middle,436,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.85,0.76,0.9,0.89,0.89,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,01/08/2016 12:00:00 AM,2.46,2.96,0.326,0.255,0.087,0.846,0.241,0.771,0.814,0.06,0.106,0.018,11,0.865,0.976,0.075,0.966
02M150,P.S. 150,Elementary,169,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.96,1,0.99,0.97,0.98,0.96,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,03/12/2015 12:00:00 AM,,,0.03,0.154,0,0.156,0,0.089,0.189,0.012,0.112,0.586,6.3,0.909,0.955,0.077,0.979
02M151,Yorkville Community School,Elementary,475,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.92,0.94,0.89,0.94,0.98,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,11/24/2015 12:00:00 AM,,,0.042,0.198,0.019,0.431,0.143,0.392,0.063,0.158,0.244,0.484,9,0.756,0.934,0.207,0.962
02M158,P.S. 158 Bayard Taylor,Elementary,721,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,0.86,0.78,0.78,0.79,0.97,0.84,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,05/11/2015 12:00:00 AM,,,0.053,0.168,0.003,0.11,0.014,0.069,0.117,0.026,0.078,0.72,3.3,0.647,0.954,0.084,0.971
02M167,J.H.S. 167 Robert F. Wagner,Middle,1336,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.79,0.79,0.7,0.84,0.87,0.88,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,01/21/2016 12:00:00 AM,3.37,3.53,0.031,0.17,0.018,0.303,0.037,0.237,0.21,0.06,0.161,0.516,13.8,0.83,0.961,0.093,0.96
02M177,Yorkville East Middle School,Middle,233,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.81,0.88,0.73,0.93,0.95,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,03/18/2015 12:00:00 AM,3.06,3.08,0.017,0.262,0.004,0.332,0.034,0.27,0.082,0.12,0.262,0.485,4,0.6,0.953,0.097,0.973
02M183,P.S. 183 Robert L. Stevenson,Elementary,548,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,0.85,0.88,0.92,0.9,0.98,0.96,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,03/31/2015 12:00:00 AM,,,0.051,0.168,0.004,0.071,0.004,0.042,0.164,0.024,0.088,0.684,1,0.846,0.96,0.05,0.979
02M198,P.S. 198 Isador E. Ida Straus,Elementary,410,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.81,0.83,0.77,0.88,0.97,0.91,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,10/01/2016 12:00:00 AM,,,0.066,0.241,0.005,0.376,0.059,0.31,0.207,0.11,0.232,0.42,1.8,0.778,0.95,0.137,0.971
02M212,P.S. 212 Midtown West,Elementary,330,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.87,0.96,0.92,0.93,0.98,0.96,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,12/16/2014 12:00:00 AM,,,0.039,0.118,0.003,0.297,0.015,0.182,0.139,0.067,0.252,0.464,2.3,0.762,0.954,0.083,0.974
02M217,P.S./I.S. 217 Roosevelt Island,K-8,580,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.86,0.92,0.72,0.92,0.96,0.88,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,03/01/2018 12:00:00 AM,,,0.174,0.141,0.01,0.306,0.022,0.207,0.293,0.119,0.148,0.39,11.8,0.659,0.951,0.123,0.975
02M225,Ella Baker School,K-8,280,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.81,0.9,0.71,0.93,0.96,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,02/01/2018 12:00:00 AM,,,0.011,0.254,0.007,0.386,0.054,0.225,0.046,0.182,0.361,0.325,0.9,0.636,0.933,0.206,0.96
02M234,P.S. 234 Independence School,Elementary,642,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,0.88,0.89,0.9,0.81,0.97,0.91,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,02/09/2016 12:00:00 AM,,,0.016,0.168,0,0.095,0.003,0.051,0.095,0.014,0.078,0.72,11.8,0.711,0.958,0.076,0.98
02M255,M.S. 255 Salk School of Science,Middle,386,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.96,0.88,0.99,0.96,0.97,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,01/29/2015 12:00:00 AM,3.9,4,0.005,0.168,0,0.144,0.016,0.07,0.163,0.018,0.114,0.611,16,0.84,0.972,0.013,0.97
04M037,River East Elementary,Elementary,175,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.85,0.95,0.85,0.96,0.97,0.99,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,11/17/2015 12:00:00 AM,,,0.051,0.286,0.023,0.877,0.263,0.754,0,0.411,0.526,0.046,2,0.789,0.915,0.357,0.968
02M260,M.S. 260 Clinton School Writers & Artists,Middle,293,Exceeding Target,Approaching Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,0.78,0.64,0.72,0.68,0.9,0.83,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,03/03/2015 12:00:00 AM,3.81,3.85,0,0.157,0,0.145,0.007,0.068,0.133,0.031,0.085,0.655,6.8,0.7,0.972,0.01,0.979
02M267,"East Side Elementary School, PS 267",Elementary,398,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.9,0.86,0.9,0.85,0.96,0.9,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,01/15/2016 12:00:00 AM,,,0.053,0.161,0.008,0.075,0.008,0.06,0.121,0.005,0.113,0.744,8,0.655,0.952,0.096,0.962
02M276,Battery Park City School,K-8,827,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.83,0.87,0.77,0.91,0.95,0.9,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,01/07/2015 12:00:00 AM,,,0.031,0.192,0.002,0.163,0.015,0.098,0.196,0.041,0.133,0.539,9,0.806,0.956,0.091,0.976
02M281,The River School,Elementary,236,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,,0.97,0.98,0.99,0.94,0.98,0.96,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,01/01/2017 12:00:00 AM,,,0.208,0.169,0.017,0.203,0.034,0.169,0.322,0.102,0.127,0.415,3.9,0.591,0.954,0.136,0.989
02M289,I.S. 289,Middle,283,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.88,0.91,0.75,0.88,0.91,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,05/11/2015 12:00:00 AM,3.18,3.46,0.018,0.233,0.004,0.466,0.081,0.385,0.438,0.039,0.117,0.378,4.8,0.889,0.967,0.063,0.949
02M290,P.S. 290 Manhattan New School,Elementary,591,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.95,0.86,0.96,0.84,0.98,0.89,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,05/11/2015 12:00:00 AM,,,0.029,0.162,0.005,0.112,0.003,0.096,0.108,0.019,0.086,0.719,3.9,0.902,0.958,0.087,0.977
